price,model_year,model,condition,cylinders,fuel,odometer,transmission,type,paint_color,is_4wd,date_posted,days_listed,vehicle_age
9500,2015,nissan altima,excellent,4.0,gas,84000.0,automatic,sedan,red,0,2019-02-07,34,5
6500,2012,dodge grand caravan,good,6.0,gas,119156.0,automatic,mini-van,,0,2018-09-11,14,7
3000,2016,nissan rogue,excellent,4.0,gas,58000.0,automatic,SUV,blue,0,2019-03-04,14,4
600,1999,toyota camry le,salvage,4.0,gas,216348.0,automatic,sedan,white,0,2019-03-04,23,21
2500,2016,honda civic,excellent,,gas,46000.0,automatic,sedan,black,0,2019-02-17,90,4
2900,2016,honda civic,excellent,4.0,gas,18000.0,automatic,sedan,grey,0,2018-06-14,13,3
5500,2017,ford explorer,excellent,6.0,gas,25000.0,automatic,SUV,grey,1,2019-03-01,10,3
11900,2005,ford f250 super duty,good,8.0,diesel,119358.0,automatic,truck,blue,0,2018-05-27,62,14
30000,2015,jeep wrangler unlimited,excellent,6.0,gas,13365.0,automatic,SUV,white,1,2019-03-28,31,5
15250,2011,ford f-150,excellent,8.0,gas,97000.0,automatic,truck,grey,1,2019-03-30,37,9
2200,1995,ford f250 super duty,good,,gas,149963.0,automatic,truck,orange,0,2018-05-01,59,24
2800,2002,honda accord,fair,6.0,gas,211000.0,automatic,sedan,,0,2018-12-10,18,17
9700,2000,toyota 4runner,excellent,6.0,gas,200116.0,automatic,SUV,,1,2018-11-10,17,19
4500,2009,jeep liberty,good,6.0,gas,171000.0,automatic,SUV,black,1,2019-01-23,16,11
11295,2015,nissan altima,excellent,4.0,gas,80148.0,automatic,sedan,,0,2018-08-16,35,4
500,2004,toyota corolla,like new,4.0,gas,226980.0,automatic,sedan,,0,2018-09-19,19,15
5900,2007,ram 2500,good,8.0,gas,229000.0,automatic,pickup,white,1,2018-07-10,61,12
13000,2004,chevrolet corvette,good,8.0,gas,85104.0,automatic,convertible,blue,0,2018-10-12,127,15
4995,2004,honda accord,excellent,,gas,176722.0,automatic,sedan,blue,0,2019-02-22,17,16
9200,2017,nissan sentra,excellent,4.0,gas,12000.0,automatic,sedan,grey,0,2018-12-26,26,2
5999,2007,chrysler 300,excellent,6.0,gas,122000.0,automatic,sedan,grey,0,2018-12-05,6,12
6000,2005,subaru outback,excellent,4.0,gas,148000.0,automatic,wagon,blue,0,2018-06-26,47,14
12995,2009,chevrolet suburban,excellent,8.0,gas,157976.0,automatic,SUV,white,1,2018-12-17,32,10
15800,2009,gmc sierra 1500,excellent,8.0,gas,150000.0,automatic,truck,white,0,2018-07-03,36,10
4000,2005,honda pilot,excellent,6.0,gas,167000.0,automatic,SUV,red,1,2018-05-12,8,14
17999,1996,chevrolet corvette,excellent,8.0,gas,30469.0,manual,convertible,,0,2018-05-10,59,23
19995,2012,chevrolet tahoe,good,8.0,gas,129516.0,automatic,SUV,,1,2019-03-28,61,8
